Search performed for: ,2026-05-18T17:35:44.205808693
Added Album: Vanisher, Horizon Scraper,2026-05-18T17:36:22.685148397
Added Artist: Future,2026-05-18T17:36:44.628021836
Added Host: Dr. Mike,2026-05-18T17:37:14.926589104
Added Podcast: Podcast 1,2026-05-18T17:37:34.569288246
Added Tag: Hip-Hop,2026-05-18T17:37:51.519049617
Added Tag: R&B,2026-05-18T17:37:55.622264378
Added Tag: Pop,2026-05-18T17:38:00.190895882
Added Tag: Experimental,2026-05-18T17:38:03.274250005
Associated Tag 'Experimental' with Creator 'Quadeca',2026-05-18T17:38:17.781894944
Associated Tag 'R&B' with Creator 'Drake',2026-05-18T17:38:26.873677036
Associated Tag 'Hip-Hop' with Creator 'Drake',2026-05-18T17:38:33.603709909
Search performed for: ,2026-05-18T17:38:47.183572212
Associated Tag 'Pop' with Creator 'The Weeknd',2026-05-18T17:39:06.659971386
Associated Tag 'R&B' with Creator 'The Weeknd',2026-05-18T17:39:14.208584176
Added Tag: Medical,2026-05-18T17:39:24.065539256
Associated Tag 'Medical' with Creator 'Dr. Mike',2026-05-18T17:39:32.048603274
Added Album Track: WAGING WAR,2026-05-18T17:41:34.584720669
Added Collaborator: Metro Boomin,2026-05-18T17:41:56.979202288
Added Collaborator: Mike Dean,2026-05-18T17:42:13.218550309
Added Album: Hurry Up Tomorrow,2026-05-18T17:42:33.134813106
Added Album Track: Timeless,2026-05-18T17:43:11.024540548
Added Album Track: The Abyss,2026-05-18T17:43:40.921484814
Added Album: what a time to be alive,2026-05-18T17:44:01.275181285
Added Album Track: Digital dash,2026-05-18T17:44:28.148948997
Search performed for: w,2026-05-18T17:44:32.054395478
Played Song: Digital dash,2026-05-18T17:44:37.012183804
Search performed for: d,2026-05-18T18:04:28.154022848
Played Song: Digital dash,2026-05-18T18:05:13.924862017
